id , name,type,ordering_attribute,ordering_type
94,Panorama,2,788,1
170,Klassiset säveltäjät,2,788,1
124,Techno & Dance,1,788,1
186,Best of Pagan Folk,1,788,1
2334,Glastonbury Festival,8,788,1
98,The Romantic Piano Concerto,2,788,1
128,Suomi-rock,1,788,1
215,Goth Is What You Make It,1,788,1
29,The Sibelius Edition,2,788,1
2582,The Hours… Tour,7,788,1
3238,Post Marked Stamps,1,788,1
17,En sang om is og ild,1,788,1
3239,Stern Grove Festival,8,788,1
131,FLCL,1,788,1
107,BLEACH,1,788,1
109,Paranoia Agent,1,788,1
2581,Sonda,1,788,1
176,Collections,2,788,1
135,Now That's What I Call Music!,1,788,1
151,Sibelius Academy Folk Music Recordings,2,788,1
121,Parhaat,1,788,1
1,The World Roots Music Library,2,788,1
123,Tenchi Muyo!,1,788,1
136,Latauslista,1,788,1
43,Back in Time,1,788,1
21,Progstravaganza,1,788,1
195,WBOS: Live From the Archives,1,788,1
216,Zwischenfall,1,788,1
197,Die ultimative Chart Show,1,788,1
213,Darkness Before Dawn,1,788,1
204,Grand Prix,2,788,1
207,Extreme Lustlieder,1,788,1
211,Extreme Clubhits,1,788,1
2585,Everlasting Summer,1,788,1
219,Great Recordings of the Century,2,788,1
218,The Romantic Violin Concerto,2,788,1
217,Aderlass,1,788,1
20,Ethnic Sound Collection,2,788,1
91,Symphonic Metal: Dark & Beautiful,1,788,1
3243,Time Life: Flower Power,1,788,1
92,Opera Metal,1,788,1
88,Virtuoso,2,788,1
93,A Winter's Solstice,1,788,1
132,Samurai Champloo,1,788,1
2584,On an Island,7,788,1
134,Patlabor,1,788,1
180,NEXUS MASTER PIECE 1500,2,788,2
137,Fruits Basket,1,788,1
106,Nadia: The Secret of Blue Water,1,788,1
154,Finnhits 2.0,1,788,1
108,Berserk,1,788,1
122,Tilkkutäkki,1,788,2
192,KFOG: Live From the Archives,1,788,1
110,Trigun,1,788,1
139,Vuosikirja,1,788,1
152,Toivekonsertti,1,788,1
200,Thematisches Verzeichnis,5,788,1
153,En sang om is og ild,4,788,1
163,Hittiparaati,1,788,1
2588,The Tonight Show with Johnny Carson,6,788,1
225,"Franz Schubert, thematisches Verzeichnis seiner Werke in chronologischer Folge",5,788,1
2645,Hardcore Syndrome,1,788,1
3244,Shifty Disco Singles Club,2,788,1
2687,Game Music Bundle 8,2,788,1
3292,Perfect Remixes,1,788,1
2851,A New World: intimate music from FINAL FANTASY,7,788,1
2853,Juan Gabriel: 25 aniversario: 1971-1975,1,788,2
2779,Bruce Springsteen: The Lost Masters,1,788,1
2399,Ministry of Sound: 21st Century Disco,1,788,1
2400,David Popper opera,5,788,1
2879,Neo Universe 2011 ALWAYS,7,788,2
2401,Mielenrauhaa: Klassista musiikkia rentoutumiseen,1,788,2
2402,Castle Party,8,788,1
2880,The Clubber's Bible,2,788,2
2790,The Bottom Line Encore Collection,1,788,1
2808,House Party,1,788,1
2812,ARIA The ORIGINATION Drama CD,1,788,1
2817,"The Ultimate 7"" & 12"" Collection",1,788,1
2891,Andrzej Panufnik’s symphonies,4,788,1
2882,British Archive Series: Blues for Collectors,1,788,1
2881,An Icelandic Odyssey,1,788,1
2742,Tim und Struppi,1,788,1
2883,Terrorizer: Fear Candy,1,788,1
2884,Dig Deep Columbia,2,788,1
2403,Castlevania games,4,788,1
2731,Tunnel of Love Express Tour,7,788,2
2818,HAGAREN SONG FILE,1,788,1
2897,Disco Refrain,1,788,1
2898,Romantic Moments: Classical Music for Lovers,1,788,1
2899,Masters of Classical Music,1,788,1
2849,Ignace Pleyel. A Thematic Catalogue of His Compositions,5,788,1
2900,Hits,1,788,1
2901,Atmospheric Synthesizer Spectacular,1,788,1
226,Wagner-Werk-Verzeichnis,5,788,1
259,Under One Flag singles series,2,788,1
254,Zillo Club Hits,1,788,1
268,Die Wahrheit über Deutschland,1,788,1
269,20th Century Hits for a New Millennium,1,788,1
287,The Dome,1,788,2
261,Suomi aarteet,1,788,1
274,Awesome 80's,1,788,1
262,Scontrum,1,788,1
270,Free Speech - Fight for Your Right,1,788,1
279,New Wave 80s,1,788,1
271,Hit Mania '80s,1,788,1
275,Awesome 80's,1,788,1
272,Dance-Disco-80's,1,788,1
276,Rock of the 80's,1,788,1
280,The 80's Collection,1,788,1
281,Greatest Hits of the Millennium,1,788,1
284,Famicom 20th Anniversary,1,788,1
288,Best Sellers of the 80's,1,788,1
285,The No.1 DJ Collection,1,788,1
374,Stereoplay Highlights,1,788,1
289,Living in Oblivion: The 80's Greatest Hits,1,788,1
290,Maschinenwelt Compilation,1,788,1
291,The Encyclopaedia of Music,1,788,1
292,The 80's Greatest Rock Hits,1,788,1
293,Just Can't Get Enough: New Wave Hits of the '80s,1,788,1
227,Ryom-Verzeichnis,5,788,1
294,Mother,1,788,1
295,Radio Daze: Pop Hits of the 80s,1,788,1
